"t (s)","Inclination (deg)","Rotation (deg)"
2.403341854E1,3.216750166E-1,-4.257145270E1
2.453341854E1,3.521831987E-1,-4.447820957E1
2.503341854E1,3.701011810E-1,-4.381981835E1
2.553341854E1,3.517750595E-1,-4.721309443E1
2.603341854E1,3.471205184E-1,-4.720984083E1
2.653341854E1,3.748775808E-1,-4.668959636E1
2.703341854E1,3.544492828E-1,-4.532660099E1
2.766503546E1,2.123161986E-1,6.930741421E1
2.816503546E1,1.746418652E-1,-6.739920534E1
2.866503546E1,1.291144001E0,-1.600587808E2
2.916503546E1,6.308314223E0,-1.445714346E2
2.966503546E1,1.479981078E1,-1.507295451E2
3.016503546E1,2.217239566E1,-1.763035187E2
3.066503546E1,3.291219760E1,1.795026017E2
3.116503546E1,4.403369805E1,1.756424692E2
3.166503546E1,5.126729550E1,1.722567418E2
3.216503546E1,6.311997397E1,1.756604147E2
3.266503546E1,7.255402349E1,1.763970322E2
3.316503546E1,7.929626395E1,1.772354059E2
3.366503546E1,8.442212162E1,1.783240026E2
3.416503546E1,9.261800453E1,1.793640041E2
3.466503546E1,1.009205579E2,1.789073270E2
3.516503546E1,1.151388172E2,1.760764130E2
3.566503546E1,1.306743557E2,1.747002189E2
3.616503546E1,1.470425732E2,1.735480325E2
3.666503546E1,1.663130101E2,1.679166040E2
3.716503546E1,1.722676290E2,2.934439397E1
3.766503546E1,1.592176897E2,1.085507168E1
3.816503546E1,1.463177073E2,4.658493883E0
3.866503546E1,1.356064057E2,4.459565000E0
3.916503546E1,1.286358600E2,3.568861487E0
3.966503546E1,1.185445581E2,6.233012925E0
4.016503546E1,1.068963697E2,5.547545562E0
4.066503546E1,8.852784475E1,1.498863415E0
4.116503546E1,6.338174172E1,-2.498511917E0
4.166503546E1,3.612927069E1,-1.069452917E1
4.216503546E1,1.961310166E1,-7.801695417E0
4.266503546E1,1.095414501E1,-2.888751359E0
4.316503546E1,3.465568644E0,-1.074233576E0
4.366503546E1,5.924525537E-1,5.602309755E1
4.416503546E1,2.220009903E-1,6.689682493E1
4.466503546E1,2.491555748E-1,7.056390632E1
4.466503546E1,2.491555748E-1,7.056390632E1
4.466503546E1,2.491555748E-1,7.056390632E1
4.598733524E1,2.072374483E0,-4.026016520E1
4.648733524E1,1.915134857E0,-3.186850094E1
4.698733524E1,1.335369978E0,-5.116025524E1
4.748733524E1,8.155778970E0,-1.620914082E2
4.798733524E1,2.106543246E1,-1.729204123E2
4.848733524E1,3.469277089E1,-1.773243136E2
4.898733524E1,4.981484474E1,-1.772088869E2
4.948733524E1,6.709143023E1,-1.752987112E2
4.998733524E1,8.477344755E1,-1.721304910E2
5.048733524E1,1.007579295E2,-1.703117936E2
5.098733524E1,1.226541678E2,-1.679647798E2
5.148733524E1,1.443003407E2,-1.622608432E2
5.198733524E1,1.633394489E2,-1.555886597E2
5.248733524E1,1.737676353E2,-1.344711869E2
5.298733524E1,1.772259012E2,-5.855449608E1
5.348733524E1,1.744911700E2,-1.672108210E1
5.398733524E1,1.706013406E2,-1.550753532E1
5.448733524E1,1.635967616E2,-6.250266415E0
5.498733524E1,1.565585095E2,-7.597293295E0
5.548733524E1,1.478148839E2,-6.631884281E0
5.598733524E1,1.373478807E2,-2.319550964E0
5.648733524E1,1.260317213E2,8.382360352E-1
5.698733524E1,1.144658372E2,1.041415384E0
5.748733524E1,1.023951921E2,3.454705578E0
5.798733524E1,9.246439183E1,5.468178229E0
5.848733524E1,8.608923659E1,5.706406134E0
5.898733524E1,7.213016349E1,2.498085394E0
5.948733524E1,5.715408709E1,-9.296375839E-2
5.998733524E1,4.350666559E1,-1.914476937E-1
6.048733524E1,3.225614220E1,-2.006798034E0
6.098733524E1,2.283789551E1,-3.980874668E0
6.148733524E1,1.563460142E1,-6.124012897E0
6.198733524E1,8.489440377E0,-8.027067188E0
