"event","experiment time","system time","system time text"
"START",0.000000000E0,1647974372.878,"2022-03-22 14:39:32.878 UTC-0400"
"PAUSE",3.339943868E1,1647974406.277,"2022-03-22 14:40:06.277 UTC-0400"
