"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.334185420E-1,8.981214029E1,3.880261135E1
1.533418542E0,8.983985559E1,3.702296872E1
2.033418542E0,8.980782733E1,3.602128062E1
2.533418542E0,8.982190789E1,3.969339298E1
3.033418542E0,8.981564995E1,3.308950993E1
3.533418542E0,8.978953125E1,3.589714590E1
4.033418542E0,8.981238965E1,3.390272050E1
4.533418542E0,8.994241797E1,8.928730859E1
5.033418542E0,9.008678922E1,9.017303552E1
5.533418542E0,9.004109973E1,9.003069226E1
6.033418542E0,8.977687423E1,8.990757502E1
6.533418542E0,8.992927489E1,8.998360845E1
7.033418542E0,8.960084542E1,8.996362049E1
7.533418542E0,8.818731994E1,8.998446273E1
8.033418542E0,-3.067490282E1,8.996868953E1
8.533418542E0,-9.767724345E1,9.001881424E1
9.033418542E0,-8.414558941E1,8.998092956E1
9.533418542E0,5.959684781E1,8.997396917E1
1.003341854E1,-8.994815546E1,8.998235016E1
1.053341854E1,-8.987484891E1,8.987567345E1
1.103341854E1,-8.977881806E1,8.937874531E1
1.153341854E1,-9.008018460E1,9.093673382E1
1.203341854E1,-9.025032811E1,1.147351469E2
1.253341854E1,-9.035001346E1,1.547011785E2
1.303341854E1,-9.034464595E1,1.525226360E2
1.353341854E1,-9.034669681E1,1.515369393E2
1.403341854E1,-9.036839088E1,1.546166142E2
1.453341854E1,-9.035017471E1,1.559742994E2
1.503341854E1,-9.035749437E1,1.542970638E2
1.553341854E1,-9.034196118E1,1.536277445E2
1.603341854E1,-9.033568701E1,-9.615218350E1
1.653341854E1,-9.045350285E1,-9.095284673E1
1.703341854E1,-9.031821150E1,-9.023145317E1
1.753341854E1,-9.079244903E1,-9.020690627E1
1.803341854E1,-9.116903042E1,-9.003016279E1
1.853341854E1,9.147186508E1,-9.001239044E1
1.903341854E1,9.028017949E1,-9.000350589E1
1.953341854E1,9.018158594E1,-9.000302055E1
2.003341854E1,8.971300554E1,-8.999413397E1
2.053341854E1,9.079001980E1,-9.001221819E1
2.103341854E1,9.018102337E1,-9.000182118E1
2.153341854E1,9.069942102E1,-9.007160922E1
2.203341854E1,8.930185276E1,-8.965895818E1
2.253341854E1,8.987102040E1,-8.976593690E1
2.303341854E1,8.951811501E1,-8.624810824E1
2.353341854E1,8.971490307E1,-8.201853714E1
2.403341854E1,8.976310636E1,-4.257145270E1
2.453341854E1,8.974870975E1,-4.447820957E1
2.503341854E1,8.973296252E1,-4.381981835E1
2.553341854E1,8.976104687E1,-4.721309443E1
2.603341854E1,8.976419417E1,-4.720984083E1
2.653341854E1,8.974285059E1,-4.668959636E1
