"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.334185420E-1,5.119738865E1,8.984894263E1
1.533418542E0,5.297703127E1,8.987922171E1
2.033418542E0,5.397871938E1,8.986026905E1
2.533418542E0,5.030660702E1,8.985217962E1
3.033418542E0,5.691049006E1,8.987987156E1
3.533418542E0,5.410285410E1,8.984766168E1
4.033418542E0,5.609727950E1,8.987391790E1
4.533418542E0,7.126914088E-1,8.538104720E1
5.033418542E0,-1.730355296E-1,6.336313720E1
5.533418542E0,-3.069226521E-2,3.675146039E1
6.033418542E0,9.242497428E-2,2.250062894E1
6.533418542E0,1.639154077E-2,1.304871968E1
7.033418542E0,3.637950106E-2,5.207545983E0
7.533418542E0,1.553726668E-2,4.909311017E-1
8.033418542E0,3.131046762E-2,-1.857225123E-2
8.533418542E0,-1.881424974E-2,-1.395703940E-1
9.033418542E0,1.907043071E-2,-1.859873208E-1
9.533418542E0,2.603082305E-2,4.436286578E-2
1.003341854E1,1.764983994E-2,-1.880051055E1
1.053341854E1,1.243265484E-1,-4.481063565E1
1.103341854E1,6.212546845E-1,-7.040364012E1
1.153341854E1,-9.367338282E-1,-8.510782688E1
1.203341854E1,-2.473514694E1,-8.945663873E1
1.253341854E1,-6.470117852E1,-8.983455660E1
1.303341854E1,-6.252263601E1,-8.982076011E1
1.353341854E1,-6.153693932E1,-8.981204668E1
1.403341854E1,-6.461661416E1,-8.982520416E1
1.453341854E1,-6.597429942E1,-8.984390236E1
1.503341854E1,-6.429706377E1,-8.982792529E1
1.553341854E1,-6.362774452E1,-8.983045381E1
1.603341854E1,-1.738478165E2,-9.311123012E1
1.653341854E1,-1.790471533E2,-1.154503041E2
1.703341854E1,-1.797685468E2,-1.439696235E2
1.753341854E1,-1.797930937E2,-1.653677441E2
1.803341854E1,-1.799698372E2,-1.785222131E2
1.853341854E1,-1.799876095E2,1.795177905E2
1.903341854E1,-1.799964941E2,1.792830991E2
1.953341854E1,-1.799969794E2,1.790470174E2
2.003341854E1,1.799941340E2,1.788290756E2
2.053341854E1,-1.799877818E2,1.791140083E2
2.103341854E1,-1.799981788E2,1.794235962E2
2.153341854E1,-1.799283908E2,1.741545074E2
2.203341854E1,1.796589582E2,1.539655486E2
2.253341854E1,1.797659369E2,1.188567048E2
2.303341854E1,1.762481082E2,9.730869817E1
2.353341854E1,1.720185371E2,9.203250695E1
2.403341854E1,1.325714527E2,9.021761732E1
2.453341854E1,1.344782096E2,9.024675449E1
2.503341854E1,1.338198183E2,9.025625724E1
2.553341854E1,1.372130944E2,9.025816398E1
2.603341854E1,1.372098408E2,9.025473463E1
2.653341854E1,1.366895964E2,9.027278083E1
