"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.208168230E-1,2.427096737E0,8.967482880E1
1.020816823E0,2.027322733E0,8.967003086E1
1.520816823E0,3.766982096E0,8.965887677E1
2.020816823E0,3.847082672E0,8.967168443E1
2.520816823E0,3.833203208E0,8.965879038E1
3.020816823E0,-2.493286221E0,8.967986818E1
3.520816823E0,2.514006952E-1,8.967451243E1
4.020816823E0,3.467866486E0,8.967253397E1
4.520816823E0,7.665713159E-1,8.966630590E1
5.020816823E0,3.300605858E0,8.967074516E1
5.520816823E0,1.197527744E0,8.965501871E1
6.020816823E0,-5.705761354E1,8.962140649E1
6.520816823E0,-8.673368792E1,8.955833990E1
7.020816823E0,-8.836579344E1,8.947068075E1
7.520816823E0,-8.862477792E1,8.911903024E1
8.020816823E0,-8.894029704E1,8.872562119E1
8.520816823E0,-8.921041900E1,8.822848806E1
9.020816823E0,-8.958034061E1,8.692330127E1
9.520816823E0,-8.960077261E1,-3.725546573E1
1.002081682E1,-8.946373926E1,-8.010810296E1
1.052081682E1,-8.936614155E1,-7.808665771E1
1.102081682E1,-8.930080082E1,-7.724015257E1
1.152081682E1,-8.919652480E1,-7.512230997E1
1.202081682E1,-8.915576238E1,-7.364193896E1
1.252081682E1,-8.908608163E1,-7.262669060E1
1.302081682E1,-9.015438221E1,-9.103471877E1
1.352081682E1,-9.079098911E1,-9.154768218E1
1.402081682E1,-8.428128078E1,-8.629603218E1
1.452081682E1,-5.841420350E1,-8.543242988E1
1.502081682E1,-3.072606463E1,-8.757345648E1
1.552081682E1,-3.157618102E1,-8.902669999E1
1.602081682E1,-8.509748501E0,-8.937968961E1
1.652081682E1,-5.948776428E0,-8.943834339E1
1.702081682E1,-6.996685045E0,-8.944760857E1
1.752081682E1,-6.969602007E0,-8.946103192E1
1.802081682E1,-7.786290259E0,-8.945055773E1
1.852081682E1,-5.645890340E0,-8.945337151E1
1.902081682E1,-6.638932498E0,-8.945485995E1
1.952081682E1,-6.502044898E0,-8.945175002E1
2.002081682E1,2.755492473E1,-8.897099228E1
2.052081682E1,8.449349922E1,-8.911884105E1
2.102081682E1,8.929500841E1,-8.960205492E1
2.152081682E1,9.014315553E1,-9.018748409E1
2.202081682E1,8.944650592E1,-8.728284563E1
2.252081682E1,8.962174817E1,7.264941867E1
2.302081682E1,8.975022030E1,8.673382961E1
2.352081682E1,8.975803754E1,8.614748320E1
2.402081682E1,8.973586502E1,8.434258952E1
2.452081682E1,8.973125035E1,8.407318570E1
2.502081682E1,8.973063622E1,8.411483872E1
2.552081682E1,8.972999719E1,8.433274729E1
2.602081682E1,8.973955089E1,8.506396109E1
2.652081682E1,8.974368344E1,8.645036242E1
2.702081682E1,8.978428803E1,8.856256342E1
2.752081682E1,9.010616625E1,9.026725653E1
2.802081682E1,9.005592251E1,9.005517976E1
2.852081682E1,9.125866703E1,9.059662051E1
2.902081682E1,8.912736425E1,8.983402082E1
2.952081682E1,8.869046594E1,8.993426199E1
3.002081682E1,1.110513033E2,9.013439541E1
3.052081682E1,1.015308274E2,9.006632199E1
3.102081682E1,1.043302031E2,9.007917814E1
3.152081682E1,1.027809877E2,9.007375892E1
3.202081682E1,1.044413551E2,9.007519852E1
3.302081682E1,1.029507480E2,9.007387917E1
