"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.208168230E-1,1.378291428E-2,3.251711942E-1
1.020816823E0,1.168045244E-2,3.299691327E-1
1.520816823E0,2.246020476E-2,3.411232263E-1
2.020816823E0,2.207793405E-2,3.283155668E-1
2.520816823E0,2.286199970E-2,3.412096188E-1
3.020816823E0,-1.393981821E-2,3.201318174E-1
3.520816823E0,1.428189079E-3,3.254875693E-1
4.020816823E0,1.984456002E-2,3.274660245E-1
4.520816823E0,4.464874691E-3,3.336940928E-1
5.020816823E0,1.898841595E-2,3.292548366E-1
5.520816823E0,7.211522813E-3,3.449812872E-1
6.020816823E0,-5.842564959E-1,3.785935002E-1
6.520816823E0,-7.692550422E0,4.416600948E-1
7.020816823E0,-1.794305358E1,5.293192483E-1
7.520816823E0,-3.264075098E1,8.809697536E-1
8.020816823E0,-5.025639589E1,1.274378805E0
8.520816823E0,-6.598241927E1,1.771511937E0
9.020816823E0,-8.224006996E1,3.076698724E0
9.520816823E0,-9.030364173E1,1.272554657E2
1.002081682E1,-9.307234490E1,1.701081030E2
1.052081682E1,-9.300177945E1,1.680866577E2
1.102081682E1,-9.308471977E1,1.672401526E2
1.152081682E1,-9.302181394E1,1.651223100E2
1.202081682E1,-9.287403983E1,1.636419390E2
1.252081682E1,-9.291880517E1,1.626266906E2
1.302081682E1,-9.848516128E1,-1.789652812E2
1.352081682E1,-1.170664856E2,-1.784523178E2
1.402081682E1,-1.471197402E2,1.762960322E2
1.452081682E1,-1.725970900E2,1.754324299E2
1.502081682E1,-1.785571726E2,1.775734565E2
1.552081682E1,-1.794017436E2,1.790267000E2
1.602081682E1,-1.799071825E2,1.793796896E2
1.652081682E1,-1.799414733E2,1.794383434E2
1.702081682E1,-1.799322052E2,1.794476086E2
1.752081682E1,-1.799341114E2,1.794610319E2
1.802081682E1,-1.799248674E2,1.794505577E2
1.852081682E1,-1.799459589E2,1.794533715E2
1.902081682E1,-1.799365478E2,1.794548599E2
1.952081682E1,-1.799375131E2,1.794517500E2
2.002081682E1,1.794630361E2,1.789709923E2
2.052081682E1,1.709353575E2,1.791188410E2
2.102081682E1,1.505575128E2,1.796020549E2
2.152081682E1,1.273638990E2,-1.798125159E2
2.202081682E1,1.015057705E2,1.772828456E2
2.252081682E1,8.878950115E1,1.735058133E1
2.302081682E1,8.563152158E1,3.266170390E0
2.352081682E1,8.641156476E1,3.852516798E0
2.402081682E1,8.733555913E1,5.657410478E0
2.452081682E1,8.741295370E1,5.926814300E0
2.502081682E1,8.738859232E1,5.885161280E0
2.552081682E1,8.728120887E1,5.667252706E0
2.602081682E1,8.698704209E1,4.936038905E0
2.652081682E1,8.587512469E1,3.549637574E0
2.702081682E1,8.146719803E1,1.437436574E0
2.752081682E1,6.833493019E1,-2.672565322E-1
2.802081682E1,4.461696360E1,-5.517976290E-2
2.852081682E1,2.535864428E1,-5.966205132E-1
2.902081682E1,1.076848694E1,1.659791728E-1
2.952081682E1,2.873310795E0,6.573800081E-2
3.002081682E1,3.491735071E-1,-1.343954160E-1
3.052081682E1,3.250843055E-1,-6.632199951E-2
3.102081682E1,3.099426778E-1,-7.917814283E-2
3.152081682E1,3.251471863E-1,-7.375892585E-2
3.202081682E1,2.920014023E-1,-7.519852263E-2
3.302081682E1,3.212623688E-1,-7.387917350E-2
