"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.208168230E-1,8.998621708E1,8.757290326E1
1.020816823E0,8.998831954E1,8.797267726E1
1.520816823E0,8.997753979E1,8.623301790E1
2.020816823E0,8.997792206E1,8.615291732E1
2.520816823E0,8.997713800E1,8.616679679E1
3.020816823E0,9.001393981E1,9.249328622E1
3.520816823E0,8.999857181E1,8.974859930E1
4.020816823E0,8.998015544E1,8.653213351E1
4.520816823E0,8.999553512E1,8.923342868E1
5.020816823E0,8.998101158E1,8.669939414E1
5.520816823E0,8.999278847E1,8.880247225E1
6.020816823E0,9.058425649E1,1.470576135E2
6.520816823E0,9.769255042E1,1.767336879E2
7.020816823E0,1.079430536E2,1.783657934E2
7.520816823E0,1.226407510E2,1.786247779E2
8.020816823E0,1.402563959E2,1.789402970E2
8.520816823E0,1.559824193E2,1.792104190E2
9.020816823E0,1.722400700E2,1.795803406E2
9.520816823E0,-1.796963583E2,1.796007726E2
1.002081682E1,-1.769276551E2,1.794637393E2
1.052081682E1,-1.769982205E2,1.793661415E2
1.102081682E1,-1.769152802E2,1.793008008E2
1.152081682E1,-1.769781861E2,1.791965248E2
1.202081682E1,-1.771259602E2,1.791557624E2
1.252081682E1,-1.770811948E2,1.790860816E2
1.302081682E1,-1.715148387E2,-1.798456178E2
1.352081682E1,-1.529335144E2,-1.792090109E2
1.402081682E1,-1.228802598E2,1.742812808E2
1.452081682E1,-9.740291002E1,1.484142035E2
1.502081682E1,-9.144282739E1,1.207260646E2
1.552081682E1,-9.059825634E1,1.215761810E2
1.602081682E1,-9.009281745E1,9.850974850E1
1.652081682E1,-9.005852671E1,9.594877642E1
1.702081682E1,-9.006779476E1,9.699668504E1
1.752081682E1,-9.006588863E1,9.696960200E1
1.802081682E1,-9.007513255E1,9.778629025E1
1.852081682E1,-9.005404107E1,9.564589033E1
1.902081682E1,-9.006345215E1,9.663893249E1
1.952081682E1,-9.006248689E1,9.650204489E1
2.002081682E1,-8.946303611E1,6.244507526E1
2.052081682E1,-8.093535752E1,5.506500775E0
2.102081682E1,-6.055751284E1,7.049915838E-1
2.152081682E1,-3.736389899E1,-1.431555310E-1
2.202081682E1,-1.150577048E1,5.534940784E-1
2.252081682E1,1.210498848E0,3.782518255E-1
2.302081682E1,4.368478411E0,2.497796916E-1
2.352081682E1,3.588435230E0,2.419624586E-1
2.402081682E1,2.664440862E0,2.641349780E-1
2.452081682E1,2.587046292E0,2.687496412E-1
2.502081682E1,2.611407678E0,2.693637750E-1
2.552081682E1,2.718791124E0,2.700028057E-1
2.602081682E1,3.012957908E0,2.604491094E-1
2.652081682E1,4.124875306E0,2.563165522E-1
2.702081682E1,8.532801961E0,2.157119638E-1
2.752081682E1,2.166506980E1,-1.061662510E-1
2.802081682E1,4.538303639E1,-5.592251962E-2
2.852081682E1,6.464135572E1,-1.258667039E0
2.902081682E1,7.923151306E1,8.726357481E-1
2.952081682E1,8.712668920E1,1.309534055E0
3.002081682E1,8.965082649E1,-2.105130327E1
3.052081682E1,8.967491569E1,-1.153082737E1
3.102081682E1,8.969005732E1,-1.433020307E1
3.152081682E1,8.967485281E1,-1.278098766E1
3.202081682E1,8.970799859E1,-1.444135511E1
3.302081682E1,8.967873763E1,-1.295074803E1
