"event","experiment time","system time","system time text"
"START",0.000000000E0,1647974077.327,"2022-03-22 14:34:37.327 UTC-0400"
"PAUSE",1.602201828E1,1647974093.349,"2022-03-22 14:34:53.349 UTC-0400"
