"event","experiment time","system time","system time text"
"START",0.000000000E0,1647975084.641,"2022-03-22 14:51:24.641 UTC-0400"
"PAUSE",4.170105488E1,1647975126.342,"2022-03-22 14:52:06.342 UTC-0400"
