"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.038229583E0,3.133190717E1,8.990279273E1
1.538229583E0,5.603141077E1,8.985539495E1
2.038229583E0,1.672457118E1,8.933763369E1
2.538229583E0,1.915534954E1,8.753476776E1
3.038229583E0,1.884096497E1,8.485065974E1
3.538229583E0,2.218548076E1,8.160692863E1
4.038229583E0,1.703573602E1,7.337679665E1
4.538229583E0,1.591567328E1,6.714232934E1
5.038229583E0,1.588835421E1,5.920022305E1
5.538229583E0,1.360214301E1,5.163641443E1
6.038229583E0,8.895947419E0,3.977424104E1
6.538229583E0,8.063188271E0,2.630394209E1
7.038229583E0,5.197448549E0,1.470850857E1
7.538229583E0,4.322646088E0,-1.692560972E0
8.038229583E0,3.639248859E0,-1.470520230E1
8.538229583E0,3.744424199E0,-3.507906153E1
9.038229583E0,2.841904282E0,-5.268113473E1
9.538229583E0,-5.295663351E-1,-6.780448461E1
1.003822958E1,-2.021092730E-1,-8.086891076E1
1.053822958E1,-1.791518791E2,-9.388178588E1
1.103822958E1,-1.784837555E2,-1.168190634E2
1.153822958E1,1.799081474E2,-1.341130851E2
1.203822958E1,1.794612557E2,-1.502167754E2
1.253822958E1,1.772049050E2,-1.682521044E2
1.303822958E1,1.759866383E2,1.780745890E2
1.353822958E1,1.766008461E2,1.665488197E2
1.403822958E1,1.751879319E2,1.536592862E2
1.453822958E1,1.736940280E2,1.453435718E2
1.503822958E1,1.702654798E2,1.368466554E2
1.553822958E1,1.676536401E2,1.352363688E2
1.603822958E1,1.637148219E2,1.365266951E2
1.653822958E1,1.642596417E2,1.272173665E2
1.703822958E1,1.537177571E2,1.037085302E2
1.753822958E1,1.281993456E2,9.244014470E1
1.803822958E1,1.140208856E2,9.039752703E1
