"t (s)","Inclination (deg)","Rotation (deg)"
1.038229583E0,1.138032293E-1,5.866809283E1
1.538229583E0,2.588051646E-1,3.396858923E1
2.038229583E0,6.916197322E-1,7.327542882E1
2.538229583E0,2.609532402E0,7.084465046E1
3.038229583E0,5.439167697E0,7.115903503E1
3.538229583E0,9.053409040E0,6.781451924E1
4.038229583E0,1.734123648E1,7.296426397E1
4.538229583E0,2.367023027E1,7.408432671E1
5.038229583E0,3.179031623E1,7.411164579E1
5.538229583E0,3.915930300E1,7.639785698E1
6.038229583E0,5.056632525E1,8.110405258E1
6.538229583E0,6.392150710E1,8.193681172E1
7.038229583E0,7.534935965E1,8.480255145E1
7.538229583E0,9.168774913E1,8.567735391E1
8.038229583E0,1.046768304E2,8.636075114E1
8.538229583E0,1.250214964E2,8.625557580E1
9.038229583E0,1.426471343E2,8.715809571E1
9.538229583E0,1.578036286E2,9.052956633E1
1.003822958E1,1.708688549E2,9.020210927E1
1.053822958E1,1.761177901E2,-9.084812090E1
1.103822958E1,1.531728567E2,-9.151624453E1
1.153822958E1,1.358868781E2,-8.990814736E1
1.203822958E1,1.197821326E2,-8.946125575E1
1.253822958E1,1.017343070E2,-8.720490503E1
1.303822958E1,8.807930699E1,-8.598663832E1
1.353822958E1,7.657162645E1,-8.660084611E1
1.403822958E1,6.373964720E1,-8.518793191E1
1.453822958E1,5.550604702E1,-8.369402799E1
1.503822958E1,4.726106147E1,-8.026547977E1
1.553822958E1,4.590654479E1,-7.765364012E1
1.603822958E1,4.769653652E1,-7.371482192E1
1.653822958E1,3.827732670E1,-7.425964166E1
1.703822958E1,1.521929029E1,-6.371775706E1
1.753822958E1,3.942059365E0,-3.819934559E1
1.803822958E1,9.764789548E-1,-2.402088560E1
