"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.207002600E-1,8.978867106E1,8.636208159E1
1.020700260E0,8.979128256E1,8.583911043E1
1.520700260E0,8.978495447E1,8.559147783E1
2.020700260E0,8.976889957E1,8.514177186E1
2.520700260E0,8.978429911E1,8.526203509E1
3.020700260E0,8.979025005E1,8.535052291E1
3.520700260E0,8.978647728E1,8.504566895E1
4.020700260E0,8.977161998E1,8.468299994E1
4.520700260E0,8.976388728E1,8.444595275E1
5.020700260E0,8.976710606E1,8.436197244E1
5.520700260E0,8.976494783E1,8.399509488E1
6.020700260E0,8.975678616E1,8.386170258E1
6.520700260E0,8.977175200E1,8.415070066E1
7.020700260E0,8.977013705E1,8.420597576E1
7.520700260E0,8.975262146E1,8.353096450E1
8.020700260E0,8.974838626E1,8.313441556E1
8.520700260E0,8.977038753E1,8.385713801E1
9.020700260E0,8.978173056E1,8.394116640E1
9.520700260E0,8.973334230E1,8.264614651E1
1.002070026E1,8.975462550E1,8.292522542E1
1.052070026E1,8.973736153E1,8.256081296E1
1.102070026E1,8.972303494E1,8.156196957E1
1.152070026E1,8.976868259E1,7.715301063E1
1.202070026E1,8.987570259E1,-8.772333138E1
1.252070026E1,8.986430330E1,8.037435761E1
1.302070026E1,8.921831143E1,8.274798065E1
1.352070026E1,8.901991423E1,6.702180062E1
1.402070026E1,9.001076618E1,9.027476395E1
1.452070026E1,8.995711885E1,8.866962283E1
1.502070026E1,8.989689787E1,8.318659924E1
1.552070026E1,8.991294587E1,-7.270146278E1
1.602070026E1,8.992604061E1,-5.305298763E0
1.652070026E1,8.995615717E1,8.321858241E1
1.702070026E1,8.994080178E1,8.452871237E1
1.752070026E1,8.994966666E1,8.501606303E1
1.802070026E1,8.994736992E1,8.351170468E1
1.852070026E1,8.999344184E1,8.974678128E1
1.902070026E1,8.997924990E1,8.942555118E1
1.952070026E1,9.035561597E1,1.579743640E2
2.002070026E1,9.037249602E1,1.010628522E2
2.052070026E1,9.046504053E1,9.891534867E1
2.102070026E1,9.040156978E1,1.059231477E2
2.152070026E1,9.030300006E1,1.106543900E2
2.202070026E1,9.026375163E1,1.123809115E2
2.252070026E1,9.031472193E1,1.166684890E2
2.302070026E1,9.028205588E1,1.105927051E2
2.352070026E1,9.028829402E1,1.078246722E2
2.402070026E1,9.026734510E1,1.051558776E2
2.452070026E1,9.028552744E1,1.061713335E2
2.502070026E1,9.028148569E1,1.046905943E2
2.552070026E1,9.030044412E1,1.042452480E2
2.602070026E1,9.029044236E1,1.018979844E2
2.652070026E1,9.024722493E1,9.947401380E1
2.702070026E1,9.023335201E1,9.864684457E1
2.752070026E1,9.023795564E1,1.006120144E2
2.802070026E1,9.046492733E1,9.889610579E1
2.852070026E1,8.924208031E1,7.875370075E1
2.902070026E1,8.811620997E1,-2.847857607E1
2.952070026E1,9.033878464E1,-1.015690422E2
3.002070026E1,9.015177179E1,1.012782770E2
3.102070026E1,9.011343011E1,9.383658072E1
3.152070026E1,9.008730462E1,9.312170471E1
3.202070026E1,9.012209402E1,9.650333934E1
3.252070026E1,9.009684046E1,9.504355587E1
3.302070026E1,9.010533796E1,9.616695323E1
3.352070026E1,9.010670338E1,9.505815619E1
3.402070026E1,9.011349005E1,9.553839407E1
3.452070026E1,9.011042208E1,9.681307947E1
3.502070026E1,9.009098662E1,9.417856177E1
3.552070026E1,9.017945429E1,9.857882678E1
3.602070026E1,9.050049291E1,-1.045465583E2
3.652070026E1,8.875384621E1,-5.195510584E1
3.702070026E1,8.956987670E1,-7.436468102E1
3.752070026E1,8.962370351E1,-6.363749492E1
3.802070026E1,8.965620425E1,-2.338784045E1
3.852070026E1,8.967838847E1,7.302812086E0
3.902070026E1,8.970848790E1,3.627858143E1
3.952070026E1,8.966774974E1,2.861921575E1
4.002070026E1,8.967267108E1,4.338239650E1
4.052070026E1,8.967011103E1,4.730003003E1
4.102070026E1,8.969481496E1,3.657330066E1
4.152070026E1,8.966112963E1,2.235254461E1
