"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.207002600E-1,8.667983277E1,3.637918407E0
1.020700260E0,8.713338019E1,4.160889563E0
1.520700260E0,8.721284532E1,4.408522164E0
2.020700260E0,8.728306297E1,4.858228133E0
2.520700260E0,8.739927248E1,4.737964905E0
3.020700260E0,8.742264357E1,4.649477088E0
3.520700260E0,8.753831728E1,4.954331047E0
4.020700260E0,8.754754048E1,5.317000052E0
4.520700260E0,8.757332387E1,5.554047248E0
5.020700260E0,8.764220615E1,5.638027558E0
5.520700260E0,8.776658761E1,6.004905116E0
6.020700260E0,8.773965778E1,6.138297414E0
6.520700260E0,8.777311989E1,5.849299339E0
7.020700260E0,8.773585861E1,5.794024240E0
7.520700260E0,8.781934428E1,6.469035493E0
8.020700260E0,8.791116474E1,6.865584439E0
8.520700260E0,8.786754156E1,6.142861984E0
9.020700260E0,8.794449181E1,6.058833595E0
9.520700260E0,8.793470179E1,7.353853486E0
1.002070026E1,8.802369155E1,7.074774579E0
1.052070026E1,8.798937947E1,7.439187035E0
1.102070026E1,8.813361822E1,8.438030425E0
1.152070026E1,8.898580414E1,1.284698937E1
1.202070026E1,9.312339124E1,1.777233314E2
1.252070026E1,8.919994132E1,9.625642381E0
1.302070026E1,8.388015393E1,7.252019349E0
1.352070026E1,8.768964537E1,2.297819937E1
1.402070026E1,8.775612202E1,-2.747639539E-1
1.452070026E1,8.815419434E1,1.330377168E0
1.502070026E1,8.913714060E1,6.813400754E0
1.552070026E1,9.027952174E1,1.627014628E2
1.602070026E1,9.000686790E1,9.530529876E1
1.652070026E1,8.963131104E1,6.781417587E0
1.702070026E1,8.938198059E1,5.471287623E0
1.752070026E1,8.942284311E1,4.983936966E0
1.802070026E1,8.953724122E1,6.488295317E0
1.852070026E1,8.851642713E1,2.532187163E-1
1.902070026E1,8.793134484E1,5.744488184E-1
1.952070026E1,8.985613515E1,-6.797436402E1
2.002070026E1,8.809550933E1,-1.106285225E1
2.052070026E1,8.703808530E1,-8.915348676E0
2.102070026E1,8.859269686E1,-1.592314773E1
2.152070026E1,8.919624428E1,-2.065438997E1
2.202070026E1,8.935950712E1,-2.238091154E1
2.252070026E1,8.937340547E1,-2.666848896E1
2.302070026E1,8.924934916E1,-2.059270506E1
2.352070026E1,8.910346153E1,-1.782467218E1
2.402070026E1,8.901309360E1,-1.515587759E1
2.452070026E1,8.901545832E1,-1.617133346E1
2.502070026E1,8.892643931E1,-1.469059428E1
2.552070026E1,8.881674443E1,-1.424524799E1
2.602070026E1,8.862176593E1,-1.189798440E1
2.652070026E1,8.851883549E1,-9.474013805E0
2.702070026E1,8.846587628E1,-8.646844571E0
2.752070026E1,8.873016884E1,-1.061201441E1
2.802070026E1,8.703230695E1,-8.896105795E0
2.852070026E1,8.619378039E1,1.124629925E1
2.902070026E1,9.102216260E1,1.184785761E2
2.952070026E1,9.165452861E1,-1.684309578E2
3.002070026E1,8.923899779E1,-1.127827703E1
3.102070026E1,8.830904776E1,-3.836580720E0
3.152070026E1,8.839961151E1,-3.121704710E0
3.202070026E1,8.892907264E1,-6.503339341E0
3.252070026E1,8.890284941E1,-5.043555874E0
3.302070026E1,8.902520375E1,-6.166953233E0
3.352070026E1,8.879464569E1,-5.058156190E0
3.402070026E1,8.882974323E1,-5.538394076E0
3.452070026E1,8.907584615E1,-6.813079475E0
3.502070026E1,8.875481342E1,-4.178561772E0
3.552070026E1,8.881060776E1,-8.578826783E0
3.602070026E1,9.192811627E1,-1.654534417E2
3.652070026E1,9.159227174E1,1.419551058E2
3.702070026E1,9.153653067E1,1.643646810E2
3.752070026E1,9.075925805E1,1.536374949E2
3.802070026E1,9.014868853E1,1.133878404E2
3.852070026E1,8.995878414E1,8.269718791E1
3.902070026E1,8.978602995E1,5.372141856E1
3.952070026E1,8.981870527E1,6.138078424E1
4.002070026E1,8.969065052E1,4.661760350E1
4.052070026E1,8.964250306E1,4.269996996E1
4.102070026E1,8.977356920E1,5.342669934E1
4.152070026E1,8.986065460E1,6.764745538E1
