"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.207002600E-1,3.320167221E0,2.113289357E-1
1.020700260E0,2.866619804E0,2.087174339E-1
1.520700260E0,2.787154671E0,2.150455254E-1
2.020700260E0,2.716937029E0,2.311004254E-1
2.520700260E0,2.600727519E0,2.157008846E-1
3.020700260E0,2.577356423E0,2.097499426E-1
3.520700260E0,2.461682719E0,2.135227196E-1
4.020700260E0,2.452459515E0,2.283800174E-1
4.520700260E0,2.426676125E0,2.361127200E-1
5.020700260E0,2.357793850E0,2.328939341E-1
5.520700260E0,2.233412383E0,2.350521636E-1
6.020700260E0,2.260342215E0,2.432138384E-1
6.520700260E0,2.226880100E0,2.282479935E-1
7.020700260E0,2.264141385E0,2.298629477E-1
7.520700260E0,2.180655715E0,2.473785334E-1
8.020700260E0,2.088835257E0,2.516137372E-1
8.520700260E0,2.132458434E0,2.296124699E-1
9.020700260E0,2.055508183E0,2.182694345E-1
9.520700260E0,2.065298206E0,2.666576905E-1
1.002070026E1,1.976308449E0,2.453744982E-1
1.052070026E1,2.010620520E0,2.626384605E-1
1.102070026E1,1.866381776E0,2.769650552E-1
1.152070026E1,1.014195857E0,2.313174066E-1
1.202070026E1,-3.123391250E0,1.242974013E-1
1.252070026E1,8.000586736E-1,1.356966942E-1
1.302070026E1,6.119846069E0,7.816885608E-1
1.352070026E1,2.310354625E0,9.800857604E-1
1.402070026E1,2.243877977E0,-1.076618398E-2
1.452070026E1,1.845805659E0,4.288114559E-2
1.502070026E1,8.628593985E-1,1.031021243E-1
1.552070026E1,-2.795217473E-1,8.705412446E-2
1.602070026E1,-6.867907470E-3,7.395938752E-2
1.652070026E1,3.686889563E-1,4.384282262E-2
1.702070026E1,6.180194039E-1,5.919821329E-2
1.752070026E1,5.771568828E-1,5.033333176E-2
1.802070026E1,4.627587770E-1,5.263007260E-2
1.852070026E1,1.483572869E0,6.558159167E-3
1.902070026E1,2.068655150E0,2.075009585E-2
1.952070026E1,1.438648469E-1,-3.556159769E-1
2.002070026E1,1.904490665E0,-3.724960211E-1
2.052070026E1,2.961914694E0,-4.650405342E-1
2.102070026E1,1.407303133E0,-4.015697887E-1
2.152070026E1,8.037557146E-1,-3.030000639E-1
2.202070026E1,6.404928764E-1,-2.637516363E-1
2.252070026E1,6.265945301E-1,-3.147219381E-1
2.302070026E1,7.506508383E-1,-2.820558894E-1
2.352070026E1,8.965384611E-1,-2.882940202E-1
2.402070026E1,9.869063927E-1,-2.673451037E-1
2.452070026E1,9.845416746E-1,-2.855274467E-1
2.502070026E1,1.073560682E0,-2.814856924E-1
2.552070026E1,1.183255560E0,-3.004441254E-1
2.602070026E1,1.378234068E0,-2.904423693E-1
2.652070026E1,1.481164500E0,-2.472249387E-1
2.702070026E1,1.534123713E0,-2.333520107E-1
2.752070026E1,1.269831155E0,-2.379556437E-1
2.802070026E1,2.967693045E0,-4.649273327E-1
2.852070026E1,3.806219606E0,7.579196873E-1
2.902070026E1,-1.022162603E0,1.883790021E0
2.952070026E1,-1.654528617E0,-3.387846434E-1
3.002070026E1,7.610022082E-1,-1.517717945E-1
3.102070026E1,1.690952233E0,-1.134301138E-1
3.152070026E1,1.600388489E0,-8.730462872E-2
3.202070026E1,1.070927354E0,-1.220940204E-1
3.252070026E1,1.097150585E0,-9.684046962E-2
3.302070026E1,9.747962470E-1,-1.053379680E-1
3.352070026E1,1.205354302E0,-1.067033851E-1
3.402070026E1,1.170256764E0,-1.134900582E-1
3.452070026E1,9.241538450E-1,-1.104220848E-1
3.502070026E1,1.245186580E0,-9.098662675E-2
3.552070026E1,1.189392233E0,-1.794542957E-1
3.602070026E1,-1.928116274E0,-5.004929134E-1
3.652070026E1,-1.592271747E0,1.246153786E0
3.702070026E1,-1.536530678E0,4.301232926E-1
3.752070026E1,-7.592580573E-1,3.762964881E-1
3.802070026E1,-1.486885367E-1,3.437957426E-1
3.852070026E1,4.121585558E-2,3.216115203E-1
3.902070026E1,2.139700464E-1,2.915120991E-1
3.952070026E1,1.812947271E-1,3.322502563E-1
4.002070026E1,3.093494791E-1,3.273289139E-1
4.052070026E1,3.574969372E-1,3.298889676E-1
4.102070026E1,2.264307955E-1,3.051850337E-1
4.152070026E1,1.393453960E-1,3.388703658E-1
