"t (s)","Inclination (deg)","Rotation (deg)"
5.207002600E-1,8.667985531E1,2.113289357E-1
1.020700260E0,8.713339918E1,2.087174339E-1
1.520700260E0,8.721286492E1,2.150455254E-1
2.020700260E0,8.728308503E1,2.311004254E-1
2.520700260E0,8.739929088E1,2.157008846E-1
3.020700260E0,8.742266082E1,2.097499426E-1
3.520700260E0,8.753833435E1,2.135227196E-1
4.020700260E0,8.754755994E1,2.283800174E-1
4.520700260E0,8.757334445E1,2.361127200E-1
5.020700260E0,8.764222560E1,2.328939341E-1
5.520700260E0,8.776660639E1,2.350521636E-1
6.020700260E0,8.773967812E1,2.432138384E-1
6.520700260E0,8.777313755E1,2.282479935E-1
7.020700260E0,8.773587681E1,2.298629477E-1
7.520700260E0,8.781936459E1,2.473785334E-1
8.020700260E0,8.791118486E1,2.516137372E-1
8.520700260E0,8.786755867E1,2.296124699E-1
9.020700260E0,8.794450671E1,2.182694345E-1
9.520700260E0,8.793472414E1,2.666576905E-1
1.002070026E1,8.802370966E1,2.453744982E-1
1.052070026E1,8.798940058E1,2.626384605E-1
1.102070026E1,8.813364001E1,2.769650552E-1
1.152070026E1,8.898581240E1,2.313174066E-1
1.202070026E1,9.312338391E1,1.242974013E-1
1.252070026E1,8.919994357E1,1.356966942E-1
1.302070026E1,8.388071915E1,7.816885608E-1
1.352070026E1,8.768998301E1,9.800857604E-1
1.402070026E1,8.775612206E1,-1.076618398E-2
1.452070026E1,8.815419485E1,4.288114559E-2
1.502070026E1,8.913714199E1,1.031021243E-1
1.552070026E1,9.027952142E1,8.705412446E-2
1.602070026E1,9.000686790E1,7.395938752E-2
1.652070026E1,8.963131115E1,4.384282262E-2
1.702070026E1,8.938198092E1,5.919821329E-2
1.752070026E1,8.942284334E1,5.033333176E-2
1.802070026E1,8.953724141E1,5.263007260E-2
1.852070026E1,8.851642714E1,6.558159167E-3
1.902070026E1,8.793134498E1,2.075009585E-2
1.952070026E1,8.985613792E1,-3.556159769E-1
2.002070026E1,8.809554955E1,-3.724960211E-1
2.052070026E1,8.703818269E1,-4.650405342E-1
2.102070026E1,8.859273141E1,-4.015697887E-1
2.152070026E1,8.919625552E1,-3.030000639E-1
2.202070026E1,8.935951390E1,-2.637516363E-1
2.252070026E1,8.937341492E1,-3.147219381E-1
2.302070026E1,8.924935825E1,-2.820558894E-1
2.352070026E1,8.910347288E1,-2.882940202E-1
2.402070026E1,8.901310434E1,-2.673451037E-1
2.452070026E1,8.901547054E1,-2.855274467E-1
2.502070026E1,8.892645227E1,-2.814856924E-1
2.552070026E1,8.881676070E1,-3.004441254E-1
2.602070026E1,8.862178363E1,-2.904423693E-1
2.652070026E1,8.851884928E1,-2.472249387E-1
2.702070026E1,8.846588900E1,-2.333520107E-1
2.752070026E1,8.873017979E1,-2.379556437E-1
2.802070026E1,8.703240448E1,-4.649273327E-1
2.852070026E1,8.619411242E1,7.579196873E-1
2.902070026E1,9.102161029E1,1.883790021E0
2.952070026E1,9.165449971E1,-3.387846434E-1
3.002070026E1,8.923900046E1,-1.517717945E-1
3.102070026E1,8.830905107E1,-1.134301138E-1
3.152070026E1,8.839961336E1,-8.730462872E-2
3.202070026E1,8.892907507E1,-1.220940204E-1
3.252070026E1,8.890285098E1,-9.684046962E-2
3.302070026E1,8.902520540E1,-1.053379680E-1
3.352070026E1,8.879464778E1,-1.067033851E-1
3.402070026E1,8.882974553E1,-1.134900582E-1
3.452070026E1,8.907584787E1,-1.104220848E-1
3.502070026E1,8.875481499E1,-9.098662675E-2
3.552070026E1,8.881061359E1,-1.794542957E-1
3.602070026E1,9.192804276E1,-5.004929134E-1
3.652070026E1,9.159189535E1,1.246153786E0
3.702070026E1,9.153648740E1,4.301232926E-1
3.752070026E1,9.075924168E1,3.762964881E-1
3.802070026E1,9.014868586E1,3.437957426E-1
3.852070026E1,8.995878479E1,3.216115203E-1
3.902070026E1,8.978603272E1,2.915120991E-1
3.952070026E1,8.981870832E1,3.322502563E-1
4.002070026E1,8.969065556E1,3.273289139E-1
4.052070026E1,8.964250898E1,3.298889676E-1
4.102070026E1,8.977357241E1,3.051850337E-1
4.152070026E1,8.986065704E1,3.388703658E-1
