"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.182954690E-1,8.551625962E1,2.196107201E0
1.018295469E0,8.538070397E1,2.561946937E0
1.518295469E0,8.571890906E1,2.294945961E0
2.018295469E0,8.574015114E1,2.416231552E0
2.518295469E0,8.578972805E1,2.297983506E0
3.018295469E0,8.586669315E1,2.230349265E0
3.518295469E0,8.591240009E1,2.282324717E0
4.018295469E0,8.596848300E1,2.096572528E0
4.518295469E0,8.581993817E1,2.040260005E0
5.018295469E0,8.570995386E1,2.271287508E0
5.518295469E0,8.588690322E1,2.738071480E0
6.018295469E0,8.655007918E1,3.803737742E1
6.518295469E0,8.766538420E1,8.285431856E1
7.018295469E0,8.952732978E1,8.955099462E1
7.518295469E0,8.901029306E1,8.970345668E1
8.018295469E0,5.635471239E1,8.789243432E1
8.518295469E0,1.639652941E1,8.713551357E1
9.018295469E0,7.915542673E0,8.726057094E1
9.518295469E0,1.154207172E1,8.722815184E1
1.001829547E1,4.811083541E0,8.718497212E1
1.051829547E1,1.211383015E1,8.711482021E1
1.101829547E1,3.531532396E0,8.670902484E1
1.151829547E1,1.177237919E0,8.606650132E1
1.201829547E1,-1.459012552E0,8.532178571E1
1.251829547E1,-6.275984991E0,8.567863963E1
1.301829547E1,-8.128816765E1,8.953060452E1
1.351829547E1,-9.151612289E1,9.082190919E1
1.401829547E1,-9.092881316E1,9.152946511E1
1.451829547E1,-8.895559110E1,8.530787750E1
1.501829547E1,-8.663571633E1,2.250974491E1
1.551829547E1,-8.616560083E1,-8.190000722E0
1.601829547E1,-8.606827267E1,-9.705889449E0
1.651829547E1,-8.607757811E1,-1.189572944E1
1.701829547E1,-8.643228714E1,-1.366278203E1
1.751829547E1,-8.665828692E1,-1.177677255E1
1.801829547E1,-8.640638731E1,-9.272982748E0
1.851829547E1,-8.617902563E1,-1.273834656E1
1.901829547E1,-8.761393820E1,-8.225149025E1
1.951829547E1,-8.628231682E1,-8.597592181E1
2.001829547E1,-8.179079214E1,-8.669982375E1
2.051829547E1,-4.384229420E1,-8.649820197E1
2.101829547E1,-8.493139955E-1,-8.652434050E1
2.151829547E1,1.808275359E0,-8.675400156E1
2.201829547E1,1.350871378E0,-8.671035744E1
2.251829547E1,-6.516364702E-2,-8.682281473E1
2.301829547E1,2.818861316E0,-8.671381137E1
2.351829547E1,3.283862274E0,-8.610090017E1
2.401829547E1,1.224207687E1,-8.616226365E1
2.451829547E1,1.415307488E1,-8.474933492E1
2.501829547E1,2.282046540E1,-8.475551217E1
2.551829547E1,7.584973764E1,-8.790769154E1
2.601829547E1,8.787814369E1,-8.802043331E1
2.651829547E1,8.959883716E1,-8.750785941E1
2.701829547E1,8.859857850E1,-1.370211832E0
2.751829547E1,8.719086367E1,-9.535634435E0
2.801829547E1,8.659685660E1,5.042581462E-1
2.851829547E1,8.510307100E1,1.500297310E0
2.901829547E1,8.491324734E1,1.264764266E0
2.951829547E1,8.510999638E1,1.409168762E0
3.001829547E1,8.537008060E1,1.782621655E0
3.051829547E1,8.531395201E1,1.725508865E0
3.101829547E1,8.535413699E1,1.749377801E0
