"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.182954690E-1,4.483740374E0,1.722941825E-1
1.018295469E0,4.619296025E0,2.071349393E-1
1.518295469E0,4.281090932E0,1.718876170E-1
2.018295469E0,4.259848856E0,1.800808305E-1
2.518295469E0,4.210271949E0,1.692578419E-1
3.018295469E0,4.133306846E0,1.612577073E-1
3.518295469E0,4.087599906E0,1.631884748E-1
4.018295469E0,4.031516993E0,1.478312487E-1
4.518295469E0,4.180061826E0,1.491762563E-1
5.018295469E0,4.290046134E0,1.704709561E-1
5.518295469E0,4.113096777E0,1.970457500E-1
6.018295469E0,3.449920816E0,2.700265312E0
6.518295469E0,2.334615799E0,1.801459519E1
7.018295469E0,4.726702124E-1,4.647086004E1
7.518295469E0,9.897069325E-1,7.332176941E1
8.018295469E0,3.364528760E1,8.683508575E1
8.518295469E0,7.360347058E1,8.915648233E1
9.018295469E0,8.208445732E1,8.961883046E1
9.518295469E0,7.845792828E1,8.943351765E1
1.001829547E1,8.518891645E1,8.976287763E1
1.051829547E1,7.788616985E1,8.938024279E1
1.101829547E1,8.646846760E1,8.979667453E1
1.151829547E1,8.882276208E1,8.991904111E1
1.201829547E1,9.145901255E1,9.011941981E1
1.251829547E1,9.627598499E1,9.047614161E1
1.301829547E1,1.712881676E2,9.306043671E1
1.351829547E1,-1.784838771E2,1.184587183E2
1.401829547E1,-1.790711868E2,1.487343505E2
1.451829547E1,1.789555911E2,1.674770731E2
1.501829547E1,1.766357163E2,1.786044692E2
1.551829547E1,1.761656008E2,-1.794473295E2
1.601829547E1,1.760682727E2,-1.793264951E2
1.651829547E1,1.760775781E2,-1.791724857E2
1.701829547E1,1.764322871E2,-1.791316840E2
1.751829547E1,1.766582869E2,-1.793025369E2
1.801829547E1,1.764063873E2,-1.794125132E2
1.851829547E1,1.761790256E2,-1.791350016E2
1.901829547E1,1.776139382E2,-1.629735461E2
1.951829547E1,1.762823168E2,-1.372733002E2
2.001829547E1,1.717907921E2,-1.117864200E2
2.051829547E1,1.338422942E2,-9.336339418E1
2.101829547E1,9.084931399E1,-9.005158788E1
2.151829547E1,8.819172464E1,-8.989741142E1
2.201829547E1,8.864912862E1,-8.992233991E1
2.251829547E1,9.006516364E1,-9.000361718E1
2.301829547E1,8.718113868E1,-8.983801694E1
2.351829547E1,8.671613772E1,-8.977593630E1
2.401829547E1,7.775792312E1,-8.916611281E1
2.451829547E1,7.584692511E1,-8.867247075E1
2.501829547E1,6.717953459E1,-8.778813130E1
2.551829547E1,1.415026236E1,-8.175469332E1
2.601829547E1,2.121856301E0,-4.698864541E1
2.651829547E1,4.011628344E-1,-9.139001378E0
2.701829547E1,1.401421494E0,-3.352765885E-2
2.751829547E1,2.809136328E0,-4.722522003E-1
2.801829547E1,3.403143395E0,2.998698818E-2
2.851829547E1,4.896928995E0,1.285690163E-1
2.901829547E1,5.086752654E0,1.126005994E-1
2.951829547E1,4.890003619E0,1.205848548E-1
3.001829547E1,4.629919394E0,1.444095622E-1
3.051829547E1,4.686047980E0,1.414821323E-1
3.101829547E1,4.645863007E0,1.422049596E-1
