"t (s)","Inclination (deg)","Rotation (deg)"
5.182954690E-1,8.551627981E1,1.722941825E-1
1.018295469E0,8.538073403E1,2.071349393E-1
1.518295469E0,8.571892826E1,1.718876170E-1
2.018295469E0,8.574017210E1,1.800808305E-1
2.518295469E0,8.578974635E1,1.692578419E-1
3.018295469E0,8.586670946E1,1.612577073E-1
3.518295469E0,8.591241661E1,1.631884748E-1
4.018295469E0,8.596849638E1,1.478312487E-1
4.518295469E0,8.581995229E1,1.491762563E-1
5.018295469E0,8.570997278E1,1.704709561E-1
5.518295469E0,8.588692746E1,1.970457500E-1
6.018295469E0,8.655390054E1,2.700265312E0
6.518295469E0,8.777971478E1,1.801459519E1
7.018295469E0,8.967445708E1,4.647086004E1
7.518295469E0,8.971593157E1,7.332176941E1
8.018295469E0,8.789564597E1,8.683508575E1
8.518295469E0,8.713582347E1,8.915648233E1
9.018295469E0,8.726063147E1,8.961883046E1
9.518295469E0,8.722828710E1,8.943351765E1
1.001829547E1,8.718499619E1,8.976287763E1
1.051829547E1,8.711498871E1,8.938024279E1
1.101829547E1,8.670904551E1,8.979667453E1
1.151829547E1,8.606650524E1,8.991904111E1
1.201829547E1,8.532179582E1,9.011941981E1
1.251829547E1,8.567878828E1,9.047614161E1
1.301829547E1,8.953127395E1,9.306043671E1
1.351829547E1,9.072260149E1,1.184587183E2
1.401829547E1,9.079394049E1,1.487343505E2
1.451829547E1,8.898043299E1,1.674770731E2
1.501829547E1,8.663671191E1,1.786044692E2
1.551829547E1,8.616577868E1,-1.794473295E2
1.601829547E1,8.606854345E1,-1.793264951E2
1.651829547E1,8.607798592E1,-1.791724857E2
1.701829547E1,8.643269578E1,-1.791316840E2
1.751829547E1,8.665853395E1,-1.793025369E2
1.801829547E1,8.640657572E1,-1.794125132E2
1.851829547E1,8.617945977E1,-1.791350016E2
1.901829547E1,8.771840704E1,-1.629735461E2
1.951829547E1,8.726723054E1,-1.372733002E2
2.001829547E1,8.693507609E1,-1.117864200E2
2.051829547E1,8.650421880E1,-9.336339418E1
2.101829547E1,8.652434190E1,-9.005158788E1
2.151829547E1,8.675400675E1,-8.989741142E1
2.201829547E1,8.671036046E1,-8.992233991E1
2.251829547E1,8.682281474E1,-9.000361718E1
2.301829547E1,8.671382448E1,-8.983801694E1
2.351829547E1,8.610092989E1,-8.977593630E1
2.401829547E1,8.616266889E1,-8.916611281E1
2.451829547E1,8.475073636E1,-8.867247075E1
2.501829547E1,8.475939785E1,-8.778813130E1
2.551829547E1,8.792930052E1,-8.175469332E1
2.601829547E1,8.855223612E1,-4.698864541E1
2.651829547E1,8.960392939E1,-9.139001378E0
2.701829547E1,8.859857874E1,-3.352765885E-2
2.751829547E1,8.719095894E1,-4.722522003E-1
2.801829547E1,8.659685707E1,2.998698818E-2
2.851829547E1,8.510308327E1,1.285690163E-1
2.901829547E1,8.491325711E1,1.126005994E-1
2.951829547E1,8.511000715E1,1.205848548E-1
3.001829547E1,8.537009524E1,1.444095622E-1
3.051829547E1,8.531396624E1,1.414821323E-1
3.101829547E1,8.535415124E1,1.422049596E-1
