"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.182954690E-1,8.982770581E1,8.780389279E1
1.018295469E0,8.979286506E1,8.743805306E1
1.518295469E0,8.982811238E1,8.770505403E1
2.018295469E0,8.981991916E1,8.758376844E1
2.518295469E0,8.983074215E1,8.770201649E1
3.018295469E0,8.983874229E1,8.776965073E1
3.518295469E0,8.983681152E1,8.771767528E1
4.018295469E0,8.985216875E1,8.790342747E1
4.518295469E0,8.985082374E1,8.795973999E1
5.018295469E0,8.982952904E1,8.772871249E1
5.518295469E0,8.980295425E1,8.726192851E1
6.018295469E0,8.729973468E1,5.196262257E1
6.518295469E0,7.198540481E1,7.145681437E0
7.018295469E0,4.352913995E1,4.490053762E-1
7.518295469E0,1.667823058E1,2.965433196E-1
8.018295469E0,3.164914246E0,2.107565678E0
8.518295469E0,8.435176680E-1,2.864486425E0
9.018295469E0,3.811695339E-1,2.739429055E0
9.518295469E0,5.664823474E-1,2.771848160E0
1.001829547E1,2.371223699E-1,2.815027874E0
1.051829547E1,6.197572052E-1,2.885179784E0
1.101829547E1,2.033254671E-1,3.290975157E0
1.151829547E1,8.095888186E-2,3.933498671E0
1.201829547E1,-1.194198114E-1,4.678214288E0
1.251829547E1,-4.761416167E-1,4.321360363E0
1.301829547E1,-3.060436715E0,4.693954755E-1
1.351829547E1,-2.845871826E1,-8.219091924E-1
1.401829547E1,-5.873435046E1,-1.529465118E0
1.451829547E1,-7.747707310E1,4.692122497E0
1.501829547E1,-8.860446917E1,6.749025508E1
1.551829547E1,-9.055267050E1,9.819000072E1
1.601829547E1,-9.067350493E1,9.970588944E1
1.651829547E1,-9.082751431E1,1.018957294E2
1.701829547E1,-9.086831596E1,1.036627820E2
1.751829547E1,-9.069746312E1,1.017767725E2
1.801829547E1,-9.058748680E1,9.927298274E1
1.851829547E1,-9.086499839E1,1.027383466E2
1.901829547E1,-1.070264538E2,1.722514902E2
1.951829547E1,-1.327266997E2,1.759759218E2
2.001829547E1,-1.582135800E2,1.766998237E2
2.051829547E1,-1.766366058E2,1.764982020E2
2.101829547E1,-1.799484121E2,1.765243405E2
2.151829547E1,1.798974114E2,1.767540016E2
2.201829547E1,1.799223399E2,1.767103574E2
2.251829547E1,-1.799963828E2,1.768228147E2
2.301829547E1,1.798380169E2,1.767138114E2
2.351829547E1,1.797759363E2,1.761009002E2
2.401829547E1,1.791661128E2,1.761622636E2
2.451829547E1,1.786724707E2,1.747493349E2
2.501829547E1,1.777881313E2,1.747555122E2
2.551829547E1,1.717546933E2,1.779076915E2
2.601829547E1,1.369886454E2,1.780204333E2
2.651829547E1,9.913900137E1,1.775078594E2
2.701829547E1,9.003352765E1,9.137021183E1
2.751829547E1,9.047225220E1,9.953563443E1
2.801829547E1,8.997001301E1,8.949574185E1
2.851829547E1,8.987143098E1,8.849970269E1
2.901829547E1,8.988739940E1,8.873523573E1
2.951829547E1,8.987941514E1,8.859083123E1
3.001829547E1,8.985559043E1,8.821737834E1
3.051829547E1,8.985851786E1,8.827449113E1
3.101829547E1,8.985779504E1,8.825062219E1
