"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.025320781E0,8.980708228E1,-1.721318597E1
1.525320781E0,8.980697379E1,-1.111742822E1
2.025320781E0,8.980376127E1,-1.726197552E1
2.525320781E0,8.981259035E1,-1.841602693E1
3.025320781E0,8.980751991E1,-1.372819168E1
3.525320781E0,8.981398890E1,-1.703573823E1
4.025320781E0,8.980450599E1,-1.664284530E1
4.525320781E0,8.979036051E1,-1.349999745E1
5.025320781E0,8.986865705E1,-7.795952357E0
5.525320781E0,8.984526741E1,-4.341318909E0
6.025320781E0,8.997196463E1,8.313875188E1
6.525320781E0,8.992346683E1,6.362407689E1
7.025320781E0,8.986455704E1,1.283508400E1
7.525320781E0,8.982964100E1,-2.080885229E0
8.025320781E0,8.981267911E1,-1.140291865E1
8.525320781E0,8.979676447E1,-1.309296213E1
9.025320781E0,8.980484804E1,-1.691439297E1
9.525320781E0,8.976432937E1,1.529329206E1
1.002532078E1,9.014087100E1,1.162416624E2
1.052532078E1,8.988143743E1,-7.714281127E1
1.102532078E1,9.039943936E1,-1.693529405E2
1.152532078E1,8.996267792E1,-8.596285789E1
1.202532078E1,9.007456259E1,-1.070163002E2
1.252532078E1,8.992199059E1,-7.924822077E1
1.302532078E1,8.986968209E1,-7.627016205E1
1.352532078E1,8.986787845E1,-7.585773681E1
1.402532078E1,8.983265561E1,-7.494332149E1
1.452532078E1,8.979361307E1,-7.300591758E1
1.502532078E1,8.978245001E1,-7.273470555E1
1.552532078E1,8.977443982E1,-7.229671849E1
1.602532078E1,8.976515549E1,-7.239536661E1
1.652532078E1,8.974926737E1,-7.113446941E1
1.702532078E1,8.975167137E1,-7.126137322E1
1.752532078E1,8.976817803E1,-7.172344749E1
1.802532078E1,8.980012124E1,-7.359989120E1
1.852532078E1,8.983422074E1,-7.553480371E1
1.902532078E1,8.975419629E1,-7.160502293E1
1.952532078E1,8.972102877E1,-7.199028514E1
2.002532078E1,9.018689004E1,-1.228192568E2
2.052532078E1,8.939395488E1,-6.149302785E1
2.102532078E1,8.962331854E1,-6.175300244E1
2.152532078E1,8.940646617E1,-4.654894250E1
2.202532078E1,8.946946207E1,-4.315140165E1
2.252532078E1,8.947232306E1,-4.165808486E1
2.302532078E1,8.948378652E1,-4.191439519E1
2.352532078E1,8.946987369E1,-4.177255611E1
2.402532078E1,8.948411348E1,-4.155862508E1
2.452532078E1,8.947507972E1,-4.192267196E1
2.502532078E1,8.948588293E1,-4.227178282E1
2.552532078E1,8.947486143E1,-4.181830610E1
2.602532078E1,8.948210355E1,-4.206151431E1
2.652532078E1,8.949509814E1,-4.257431737E1
2.702532078E1,8.948347628E1,-4.205808098E1
2.752532078E1,8.947498414E1,-4.162259861E1
2.802532078E1,8.949360870E1,-4.158641614E1
2.852532078E1,8.947845941E1,-4.234167743E1
2.902532078E1,8.948908446E1,-4.278232842E1
2.952532078E1,8.946641836E1,-4.105528762E1
3.002532078E1,8.939942218E1,-6.092792180E1
3.052532078E1,8.924877674E1,-6.297622171E1
3.102532078E1,9.044456567E1,1.206370018E2
3.152532078E1,8.904524352E1,-5.145875191E0
3.202532078E1,8.936740131E1,-1.241834477E1
3.252532078E1,8.942876188E1,-1.288877361E0
3.302532078E1,8.937863754E1,-5.743220674E0
3.352532078E1,8.935244611E1,-1.307679142E1
3.402532078E1,8.933997672E1,-1.194609979E1
3.452532078E1,8.933500189E1,-1.068739381E1
3.552532078E1,8.934727552E1,-1.125074323E1
3.602532078E1,8.934714355E1,-1.175009925E1
3.652532078E1,8.934318608E1,-1.206177524E1
3.702532078E1,8.933269714E1,-1.046790214E1
3.752532078E1,8.932820094E1,-1.126312914E1
3.802532078E1,8.933655032E1,-9.966802295E0
3.852532078E1,8.933587562E1,-1.159232120E1
3.902532078E1,8.934395609E1,-1.107654970E1
