"t (s)","Inclination (deg)","Rotation (deg)"
1.025320781E0,2.019635322E-1,-1.721318597E1
1.525320781E0,1.967177715E-1,-1.111742822E1
2.025320781E0,2.054945501E-1,-1.726197552E1
2.525320781E0,1.975253036E-1,-1.841602693E1
3.025320781E0,1.981404260E-1,-1.372819168E1
3.525320781E0,1.945473460E-1,-1.703573823E1
4.025320781E0,2.040415094E-1,-1.664284530E1
4.525320781E0,2.155963755E-1,-1.349999745E1
5.025320781E0,1.325682154E-1,-7.795952357E0
5.525320781E0,1.551778225E-1,-4.341318909E0
6.025320781E0,2.346722659E-1,8.313875188E1
6.525320781E0,1.722711860E-1,6.362407689E1
7.025320781E0,1.389139140E-1,1.283508400E1
7.525320781E0,1.704714144E-1,-2.080885229E0
8.025320781E0,1.910928149E-1,-1.140291865E1
8.525320781E0,2.086598419E-1,-1.309296213E1
9.025320781E0,2.039757655E-1,-1.691439297E1
9.525320781E0,2.443223911E-1,1.529329206E1
1.002532078E1,3.185960330E-1,1.162416624E2
1.052532078E1,5.327988758E-1,-7.714281127E1
1.102532078E1,4.064363723E-1,-1.693529405E2
1.152532078E1,5.301045158E-1,-8.596285789E1
1.202532078E1,2.547881008E-1,-1.070163002E2
1.252532078E1,4.181515173E-1,-7.924822077E1
1.302532078E1,5.490515929E-1,-7.627016205E1
1.352532078E1,5.407345119E-1,-7.585773681E1
1.402532078E1,6.441658000E-1,-7.494332149E1
1.452532078E1,7.061117929E-1,-7.300591758E1
1.502532078E1,7.329573147E-1,-7.273470555E1
1.552532078E1,7.417228710E-1,-7.229671849E1
1.602532078E1,7.764384079E-1,-7.239536661E1
1.652532078E1,7.753837167E-1,-7.113446941E1
1.702532078E1,7.729617383E-1,-7.126137322E1
1.752532078E1,7.391820677E-1,-7.172344749E1
1.802532078E1,7.078949869E-1,-7.359989120E1
1.852532078E1,6.636417126E-1,-7.553480371E1
1.902532078E1,7.788867984E-1,-7.160502293E1
1.952532078E1,9.022315513E-1,-7.199028514E1
2.002532078E1,3.448185636E-1,-1.228192568E2
2.052532078E1,1.269667005E0,-6.149302785E1
2.102532078E1,7.958667650E-1,-6.175300244E1
2.152532078E1,8.629929084E-1,-4.654894250E1
2.202532078E1,7.271952928E-1,-4.315140165E1
2.252532078E1,7.062611811E-1,-4.165808486E1
2.302532078E1,6.936861744E-1,-4.191439519E1
2.352532078E1,7.108040557E-1,-4.177255611E1
2.402532078E1,6.894175859E-1,-4.155862508E1
2.452532078E1,7.054773041E-1,-4.192267196E1
2.502532078E1,6.947726306E-1,-4.227178282E1
2.552532078E1,7.046194395E-1,-4.181830610E1
2.602532078E1,6.975576792E-1,-4.206151431E1
2.652532078E1,6.856199573E-1,-4.257431737E1
2.702532078E1,6.956712214E-1,-4.205808098E1
2.752532078E1,7.023128439E-1,-4.162259861E1
2.802532078E1,6.770201271E-1,-4.158641614E1
2.852532078E1,7.055871326E-1,-4.234167743E1
2.902532078E1,6.961118957E-1,-4.278232842E1
2.952532078E1,7.075809622E-1,-4.105528762E1
3.002532078E1,1.235840542E0,-6.092792180E1
3.052532078E1,1.653000855E0,-6.297622171E1
3.102532078E1,8.723365474E-1,1.206370018E2
3.152532078E1,9.586194021E-1,-5.145875191E0
3.202532078E1,6.477526003E-1,-1.241834477E1
3.252532078E1,5.713826709E-1,-1.288877361E0
3.302532078E1,6.244969585E-1,-5.743220674E0
3.352532078E1,6.647919858E-1,-1.307679142E1
3.402532078E1,6.746326523E-1,-1.194609979E1
3.452532078E1,6.767359538E-1,-1.068739381E1
3.552532078E1,6.655126779E-1,-1.125074323E1
3.602532078E1,6.668285347E-1,-1.175009925E1
3.652532078E1,6.716405000E-1,-1.206177524E1
3.702532078E1,6.785958059E-1,-1.046790214E1
3.752532078E1,6.849903752E-1,-1.126312914E1
3.802532078E1,6.736148219E-1,-9.966802295E0
3.852532078E1,6.779518609E-1,-1.159232120E1
3.902532078E1,6.684959638E-1,-1.107654970E1
