"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.025320781E0,1.929177127E-1,-5.976686754E-2
1.525320781E0,1.930262053E-1,-3.793135215E-2
2.025320781E0,1.962387269E-1,-6.097893359E-2
2.525320781E0,1.874096487E-1,-6.240131955E-2
3.025320781E0,1.924800865E-1,-4.702210116E-2
3.525320781E0,1.860110985E-1,-5.699637489E-2
4.025320781E0,1.954940072E-1,-5.843871752E-2
4.525320781E0,2.096394866E-1,-5.033018960E-2
5.025320781E0,1.313429481E-1,-1.798232410E-2
5.525320781E0,1.547325889E-1,-1.174665272E-2
6.025320781E0,2.803536175E-2,2.329916484E-1
6.525320781E0,7.653316566E-2,1.543375934E-1
7.025320781E0,1.354429560E-1,3.085916815E-2
7.525320781E0,1.703589999E-1,-6.189889004E-3
8.025320781E0,1.873208810E-1,-3.778057436E-2
8.525320781E0,2.032355251E-1,-4.726826035E-2
9.025320781E0,1.951519513E-1,-5.934545691E-2
9.525320781E0,2.356706204E-1,6.444286712E-2
1.002532078E1,-1.408710082E-1,2.857611756E-1
1.052532078E1,1.185625676E-1,-5.194411421E-1
1.102532078E1,-3.994393642E-1,-7.509383822E-2
1.152532078E1,3.732207780E-2,-5.287892003E-1
1.202532078E1,-7.456259588E-2,-2.436340076E-1
1.252532078E1,7.800940257E-2,-4.108109561E-1
1.302532078E1,1.303179029E-1,-5.333637202E-1
1.352532078E1,1.321215431E-1,-5.243468884E-1
1.402532078E1,1.673443835E-1,-6.220529206E-1
1.452532078E1,2.063869221E-1,-6.752823047E-1
1.502532078E1,2.175499846E-1,-6.999341725E-1
1.552532078E1,2.255601794E-1,-7.066015421E-1
1.602532078E1,2.348445063E-1,-7.400790006E-1
1.652532078E1,2.507326277E-1,-7.337348314E-1
1.702532078E1,2.483286232E-1,-7.319946467E-1
1.752532078E1,2.318219690E-1,-7.018970413E-1
1.802532078E1,1.998787511E-1,-6.790959284E-1
1.852532078E1,1.657792534E-1,-6.426057663E-1
1.902532078E1,2.458037092E-1,-7.390930829E-1
1.952532078E1,2.789712243E-1,-8.580326898E-1
2.002532078E1,-1.868900446E-1,-2.897812007E-1
2.052532078E1,6.060451135E-1,-1.115772960E0
2.102532078E1,3.766814540E-1,-7.011015008E-1
2.152532078E1,5.935338272E-1,-6.265225565E-1
2.202532078E1,5.305379228E-1,-4.973638344E-1
2.252532078E1,5.276769356E-1,-4.694537565E-1
2.302532078E1,5.162134756E-1,-4.634084558E-1
2.352532078E1,5.301263038E-1,-4.735336320E-1
2.402532078E1,5.158865110E-1,-4.573623564E-1
2.452532078E1,5.249202729E-1,-4.713616414E-1
2.502532078E1,5.141170607E-1,-4.673500853E-1
2.552532078E1,5.251385694E-1,-4.698326938E-1
2.602532078E1,5.178964417E-1,-4.673262042E-1
2.652532078E1,5.049018554E-1,-4.638654111E-1
2.702532078E1,5.165237187E-1,-4.660313606E-1
2.752532078E1,5.250158518E-1,-4.665040712E-1
2.802532078E1,5.063912938E-1,-4.493830676E-1
2.852532078E1,5.215405824E-1,-4.752615852E-1
2.902532078E1,5.109155356E-1,-4.728221517E-1
2.952532078E1,5.335816389E-1,-4.647433988E-1
3.002532078E1,6.005778193E-1,-1.080175458E0
3.052532078E1,7.512232580E-1,-1.472607313E0
3.102532078E1,-4.445656740E-1,7.505848599E-1
3.152532078E1,9.547564712E-1,-8.598823159E-2
3.202532078E1,6.325986868E-1,-1.393035771E-1
3.252532078E1,5.712381176E-1,-1.285268280E-2
3.302532078E1,6.213624585E-1,-6.249606972E-2
3.352532078E1,6.475538856E-1,-1.504200881E-1
3.402532078E1,6.600232764E-1,-1.396493480E-1
3.452532078E1,6.649981003E-1,-1.255066003E-1
3.552532078E1,6.527244715E-1,-1.298491671E-1
3.602532078E1,6.528564450E-1,-1.358011386E-1
3.652532078E1,6.568139162E-1,-1.403563047E-1
3.702532078E1,6.673028599E-1,-1.232960261E-1
3.752532078E1,6.717990585E-1,-1.337950680E-1
3.802532078E1,6.634496781E-1,-1.165928085E-1
3.852532078E1,6.641243787E-1,-1.362382475E-1
3.902532078E1,6.560439040E-1,-1.284372728E-1
