"event","experiment time","system time","system time text"
"START",0.000000000E0,1647974852.940,"2022-03-22 14:47:32.940 UTC-0400"
"PAUSE",3.933640264E1,1647974892.276,"2022-03-22 14:48:12.276 UTC-0400"
