"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.302423430E-1,2.093065184E0,-1.066495130E0
1.030242343E0,1.766539667E0,-1.657100098E0
1.530242343E0,1.475732167E0,-2.129913573E0
2.030242343E0,1.299660582E0,-1.402226804E0
2.530242343E0,1.055695994E0,7.539334332E-1
3.030242343E0,7.584131213E-1,-1.408585144E-1
3.530242343E0,5.190612893E-1,6.646094204E0
4.030242343E0,-1.899170721E0,1.408077356E1
4.530242343E0,-5.776790715E0,3.198955479E1
5.030242343E0,-7.339793342E0,4.969002322E1
5.530242343E0,-9.259137663E0,6.057181788E1
6.030242343E0,-7.953064885E0,7.729115442E1
6.530242343E0,1.673144636E2,9.924757010E1
7.030242343E0,1.710494630E2,1.212888292E2
7.530242343E0,1.727659644E2,1.343226581E2
8.030242343E0,1.767746808E2,1.445522909E2
8.530242343E0,-1.796028178E2,1.629902310E2
9.030242343E0,-1.786674550E2,1.754855241E2
9.530242343E0,-1.793750519E2,-1.786853473E2
1.003024234E1,1.794497103E2,-1.734416530E2
1.053024234E1,1.794648933E2,-1.603917306E2
1.103024234E1,1.787315068E2,-1.408188151E2
1.153024234E1,1.777795788E2,-1.203440612E2
1.203024234E1,-1.791603915E2,-1.029547460E2
1.253024234E1,-1.956209681E1,-8.585263318E1
1.303024234E1,-7.485291529E0,-6.453836920E1
1.353024234E1,-3.812552972E0,-5.681751351E1
1.403024234E1,-1.642984594E0,-4.356085193E1
1.453024234E1,1.561427568E-1,-2.574652702E1
1.503024234E1,2.829955797E0,-1.040708153E1
1.553024234E1,3.669580860E0,-2.596826426E0
