"t (s)","Inclination (deg)","Rotation (deg)"
5.302423430E-1,2.348682934E0,-2.699291116E1
1.030242343E0,2.421397461E0,-4.316802678E1
1.530242343E0,2.590426328E0,-5.528988231E1
2.030242343E0,1.911546346E0,-4.717476259E1
2.530242343E0,1.297170929E0,3.553131842E1
3.030242343E0,7.713798992E-1,-1.052096105E1
3.530242343E0,6.665972607E0,8.555409859E1
4.030242343E0,1.419834824E1,9.753077430E1
4.530242343E0,3.232381654E1,9.920012110E1
5.030242343E0,4.985770167E1,9.623633685E1
5.530242343E0,6.067495467E1,9.525442705E1
6.030242343E0,7.729725301E1,9.180460261E1
6.530242343E0,9.924147294E1,8.790109683E1
7.030242343E0,1.211729897E2,8.453235107E1
7.530242343E0,1.341042885E2,8.293328378E1
8.030242343E0,1.444677079E2,8.547417400E1
8.530242343E0,1.629861165E2,9.129813122E1
9.030242343E0,1.752945226E2,1.064156908E2
9.530242343E0,1.785444596E2,-1.154220528E2
1.003024234E1,1.734190063E2,-8.522445360E1
1.053024234E1,1.603855073E2,-8.849823222E1
1.103024234E1,1.408084632E2,-8.844375898E1
1.153024234E1,1.203376288E2,-8.869977113E1
1.203024234E1,1.029546749E2,-9.019315361E1
1.253024234E1,8.585400442E1,-9.147597285E1
1.303024234E1,6.458178078E1,-9.357990055E1
1.353024234E1,5.684240620E1,-9.249530816E1
1.403024234E1,4.357386064E1,-9.172761591E1
1.453024234E1,2.574688493E1,-8.967623505E1
1.503024234E1,1.076892146E1,-7.493594478E1
1.553024234E1,4.491387178E0,-3.526716295E1
