"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.302423430E-1,1.169929112E2,9.106649512E1
1.030242343E0,1.331680268E2,9.165710009E1
1.530242343E0,1.452898823E2,9.212991357E1
2.030242343E0,1.371747626E2,9.140222680E1
2.530242343E0,5.446868157E1,8.924606656E1
3.030242343E0,1.005209610E2,9.014085851E1
3.530242343E0,4.445901407E0,8.335390579E1
4.030242343E0,-7.530774301E0,7.591922643E1
4.530242343E0,-9.200121100E0,5.801044521E1
5.030242343E0,-6.236336859E0,4.030997678E1
5.530242343E0,-5.254427055E0,2.942818211E1
6.030242343E0,-1.804602615E0,1.270884557E1
6.530242343E0,2.098903162E0,-9.247570104E0
7.030242343E0,5.467648928E0,-3.128882919E1
7.530242343E0,7.066716210E0,-4.432265809E1
8.030242343E0,4.525825991E0,-5.455229087E1
8.530242343E0,-1.298131224E0,-7.299023101E1
9.030242343E0,-1.641569084E1,-8.548552413E1
9.530242343E0,-1.545779472E2,-9.131465270E1
1.003024234E1,1.752244536E2,-9.655834699E1
1.053024234E1,1.784982322E2,-1.096082694E2
1.103024234E1,1.784437590E2,-1.291811849E2
1.153024234E1,1.786997711E2,-1.496559388E2
1.203024234E1,-1.798068464E2,-1.670452540E2
1.253024234E1,-1.785240271E2,1.758526332E2
1.303024234E1,-1.764200994E2,1.545383692E2
1.353024234E1,-1.775046918E2,1.468175135E2
1.403024234E1,-1.782723841E2,1.335608519E2
1.453024234E1,1.796762350E2,1.157465270E2
1.503024234E1,1.649359448E2,1.004070815E2
1.553024234E1,1.252671629E2,9.259682642E1
