"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.302423430E-1,8.790693481E1,-2.699291116E1
1.030242343E0,8.823346033E1,-4.316802678E1
1.530242343E0,8.852426783E1,-5.528988231E1
2.030242343E0,8.870033941E1,-4.717476259E1
2.530242343E0,8.894430400E1,3.553131842E1
3.030242343E0,8.924158687E1,-1.052096105E1
3.530242343E0,8.948093871E1,8.555409859E1
4.030242343E0,9.189917072E1,9.753077430E1
4.530242343E0,9.577679071E1,9.920012110E1
5.030242343E0,9.733979334E1,9.623633685E1
5.530242343E0,9.925913766E1,9.525442705E1
6.030242343E0,9.795306488E1,9.180460261E1
6.530242343E0,-7.731446361E1,8.790109683E1
7.030242343E0,-8.104946300E1,8.453235107E1
7.530242343E0,-8.276596436E1,8.293328378E1
8.030242343E0,-8.677468080E1,8.547417400E1
8.530242343E0,-9.039718217E1,9.129813122E1
9.030242343E0,-9.133254494E1,1.064156908E2
9.530242343E0,-9.062494809E1,-1.154220528E2
1.003024234E1,-8.944971034E1,-8.522445360E1
1.053024234E1,-8.946489331E1,-8.849823222E1
1.103024234E1,-8.873150683E1,-8.844375898E1
1.153024234E1,-8.777957878E1,-8.869977113E1
1.203024234E1,-9.083960848E1,-9.019315361E1
1.253024234E1,1.095620968E2,-9.147597285E1
1.303024234E1,9.748529152E1,-9.357990055E1
1.353024234E1,9.381255297E1,-9.249530816E1
1.403024234E1,9.164298459E1,-9.172761591E1
1.453024234E1,8.984385724E1,-8.967623505E1
1.503024234E1,8.717004420E1,-7.493594478E1
1.553024234E1,8.633041913E1,-3.526716295E1
