"event","experiment time","system time","system time text"
"START",0.000000000E0,1647974009.375,"2022-03-22 14:33:29.375 UTC-0400"
"PAUSE",1.876264692E1,1647974028.137,"2022-03-22 14:33:48.137 UTC-0400"
