"event","experiment time","system time","system time text"
"START",0.000000000E0,1647975031.269,"2022-03-22 14:50:31.269 UTC-0400"
"PAUSE",3.155804624E1,1647975062.827,"2022-03-22 14:51:02.827 UTC-0400"
